filename,track_len
cell_01090.csv,194
cell_01091.csv,5
cell_01092.csv,48
cell_01093.csv,171
cell_01094.csv,2
cell_01095.csv,306
cell_01096.csv,122
cell_01097.csv,4
cell_01098.csv,9
cell_01099.csv,12
cell_01100.csv,35
cell_01101.csv,5
cell_01102.csv,10
cell_01103.csv,2
cell_01104.csv,15
cell_01105.csv,31
cell_01106.csv,56
cell_01107.csv,21
cell_01108.csv,38
cell_01109.csv,11
cell_01110.csv,23
cell_01111.csv,10
cell_01112.csv,42
cell_01113.csv,177
cell_01114.csv,19
cell_01115.csv,161
cell_01116.csv,10
cell_01117.csv,57
cell_01118.csv,7
cell_01119.csv,15
cell_01120.csv,38
cell_01121.csv,15
cell_01122.csv,15
cell_01123.csv,3
cell_01124.csv,7
cell_01125.csv,6
cell_01126.csv,8
cell_01127.csv,38
cell_01128.csv,54
cell_01129.csv,31
cell_01130.csv,110
cell_01131.csv,8
cell_01132.csv,2
cell_01133.csv,9
cell_01134.csv,28
cell_01135.csv,17
cell_01136.csv,38
cell_01137.csv,11
cell_01138.csv,14
cell_01139.csv,171
cell_01140.csv,6
cell_01141.csv,8
cell_01142.csv,1
cell_01143.csv,1
cell_01144.csv,2
cell_01145.csv,5
cell_01146.csv,4
cell_01147.csv,2
cell_01148.csv,3
cell_01149.csv,55
cell_01150.csv,13
cell_01151.csv,1
cell_01152.csv,122
cell_01153.csv,124
cell_01154.csv,25
cell_01155.csv,253
cell_01156.csv,2
cell_01157.csv,8
cell_01158.csv,18
cell_01159.csv,16
cell_01160.csv,23
cell_01161.csv,25
cell_01162.csv,9
cell_01163.csv,22
cell_01164.csv,4
cell_01165.csv,139
cell_01166.csv,48
cell_01167.csv,42
cell_01168.csv,44
cell_01169.csv,1
cell_01170.csv,2
cell_01171.csv,16
cell_01172.csv,152
cell_01173.csv,199
cell_01174.csv,38
cell_01175.csv,4
cell_01176.csv,14
cell_01177.csv,24
cell_01178.csv,8
cell_01179.csv,86
cell_01180.csv,13
cell_01181.csv,7
cell_01182.csv,4
cell_01183.csv,3
cell_01184.csv,152
cell_01185.csv,28
cell_01186.csv,2
cell_01187.csv,13
cell_01188.csv,9
cell_01189.csv,55
cell_01190.csv,3
cell_01191.csv,1
cell_01192.csv,2
cell_01193.csv,166
cell_01194.csv,51
cell_01195.csv,109
cell_01196.csv,9
cell_01197.csv,44
cell_01198.csv,29
cell_01199.csv,4
cell_01200.csv,96
cell_01201.csv,4
cell_01202.csv,29
cell_01203.csv,13
cell_01204.csv,28
cell_01205.csv,11
cell_01206.csv,86
cell_01207.csv,293
cell_01208.csv,166
cell_01209.csv,43
cell_01210.csv,68
cell_01211.csv,341
cell_01212.csv,7
cell_01213.csv,23
cell_01214.csv,3
cell_01215.csv,6
cell_01216.csv,16
cell_01217.csv,115
cell_01218.csv,27
cell_01219.csv,21
cell_01220.csv,44
cell_01221.csv,45
cell_01222.csv,7
cell_01223.csv,124
cell_01224.csv,15
cell_01225.csv,11
cell_01226.csv,3
cell_01227.csv,35
cell_01228.csv,16
cell_01229.csv,19
cell_01230.csv,45
cell_01231.csv,3
cell_01232.csv,378
cell_01233.csv,343
cell_01234.csv,41
cell_01235.csv,46
cell_01236.csv,3
cell_01237.csv,42
cell_01238.csv,293
cell_01239.csv,13
cell_01240.csv,230
cell_01241.csv,4
cell_01242.csv,4
cell_01243.csv,6
cell_01244.csv,18
cell_01245.csv,33
cell_01246.csv,32
cell_01247.csv,11
cell_01248.csv,16
cell_01249.csv,7
cell_01250.csv,81
cell_01251.csv,40
cell_01252.csv,1
cell_01253.csv,1
cell_01254.csv,49
cell_01255.csv,10
cell_01256.csv,9
cell_01257.csv,34
cell_01258.csv,8
cell_01259.csv,61
cell_01260.csv,8
cell_01261.csv,3
cell_01262.csv,20
cell_01263.csv,7
cell_01264.csv,4
cell_01265.csv,31
cell_01266.csv,8
cell_01267.csv,52
cell_01268.csv,262
cell_01269.csv,2
